,iso_code,month_count,total_vaccinations,population,vac_month,vac_person,vac_honderdduizend,continent,location
3034,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3035,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3036,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3037,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3038,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3039,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3040,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3041,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3042,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3043,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3044,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3045,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3046,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3047,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3048,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3049,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3050,MCO,11.0,65140.0,36491.0,5921.818181818182,0.16228160866564856,16228.160866564856,,
3051,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3052,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3053,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3054,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3055,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3056,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3057,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3058,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3059,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3060,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3061,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3062,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3063,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3064,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3065,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3066,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3067,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3068,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3069,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3070,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3071,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3072,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3073,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3074,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3075,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3076,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3077,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3078,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3079,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3080,MDA,17.0,2241785.0,3272993.0,131869.70588235295,0.04029024989737312,4029.024989737312,Europa,Moldova
3081,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3082,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3083,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3084,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3085,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3086,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3087,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3088,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3089,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3090,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3091,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3092,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3093,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3094,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3095,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3096,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3097,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3098,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3099,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3100,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3101,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3102,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3103,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3104,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3105,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
3106,MDG,17.0,2069585.0,29611718.0,121740.29411764706,0.00411122023104661,411.122023104661,Afrika,Madagascar
